Species,Family,Order,Class,Common name
Gnathonemus petersii,Mormyridae,Osteoglossiformes,Actinopterygii,Peter's elephantnose
Brienomyrus niger,Mormyridae,Osteoglossiformes,Actinopterygii,
Xenomystus nigri,Notopteridae,Osteoglossiformes,Actinopterygii,African knifefish
Notopterus notopterus,Notopteridae,Osteoglossiformes,Actinopterygii,Asiatic knifefish
Papyrocranus congoensis,Notopteridae,Osteoglossiformes,Actinopterygii,
Chitala ornata,Notopteridae,Osteoglossiformes,Actinopterygii,clown knifefish
Chitala lopis,Notopteridae,Osteoglossiformes,Actinopterygii,
Chitala blanci,Notopteridae,Osteoglossiformes,Actinopterygii,
Scleropages jardinii,Osteoglossidae,Osteoglossiformes,Actinopterygii,Australian bonytongue
Heterotis niloticus,Osteoglossidae,Osteoglossiformes,Actinopterygii,African bonytongue
Scleropages formosus,Osteoglossidae,Osteoglossiformes,Actinopterygii,Asian bonytongue
Arapaima gigas,Osteoglossidae,Osteoglossiformes,Actinopterygii,
Osteoglossum bicirrhosum,Osteoglossidae,Osteoglossiformes,Actinopterygii,arawana
Pantodon buchholzi,Pantodontidae,Osteoglossiformes,Actinopterygii,African butterflyfish
Acanthurus leucosternon,Acanthuridae,Perciformes,Actinopterygii,
Acanthurus lineatus,Acanthuridae,Perciformes,Actinopterygii,lined surgeonfish
Naso lopezi,Acanthuridae,Perciformes,Actinopterygii,
Zebrasoma flavescens,Acanthuridae,Perciformes,Actinopterygii,yellow tang
Doederleinia berycoides,Acropomatidae,Perciformes,Actinopterygii,akamutsu
Ammodytes hexapterus,Ammodytidae,Perciformes,Actinopterygii,Pacific sand lance
Ammodytes personatus,Ammodytidae,Perciformes,Actinopterygii,
Anabas testudineus,Anabantidae,Perciformes,Actinopterygii,climbing bass
Anarhichas lupus,Anarhichadidae,Perciformes,Actinopterygii,Atlantic wolffish
Pterapogon kauderni,Apogonidae,Perciformes,Actinopterygii,
Apogon semilineatus,Apogonidae,Perciformes,Actinopterygii,barface cardinalfish
Ariomma indica,Ariommatidae,Perciformes,Actinopterygii,Indian driftfish
Ariomma lurida,Ariommatidae,Perciformes,Actinopterygii,
Arripis trutta,Arripidae,Perciformes,Actinopterygii,Australian salmon
Parachaenichthys charcoti,Bathydraconidae,Perciformes,Actinopterygii,
Salarias fasciatus,Blenniidae,Perciformes,Actinopterygii,lineated blenny
Petroscirtes breviceps,Blenniidae,Perciformes,Actinopterygii,blackbanded blenny
Pteraclis aesticola,Bramidae,Perciformes,Actinopterygii,Pacific fanfish
Taractes asper,Bramidae,Perciformes,Actinopterygii,rough pomfret
Eumegistus illustris,Bramidae,Perciformes,Actinopterygii,
Pterocaesio tile,Caesionidae,Perciformes,Actinopterygii,dark-banded fusilier
Repomucenus curvicornis,Callionymidae,Perciformes,Actinopterygii,
Synchiropus splendidus,Callionymidae,Perciformes,Actinopterygii,Mandarinfish
Callionymus enneactis,Callionymidae,Perciformes,Actinopterygii,
Neosynchiropus moyeri,Callionymidae,Perciformes,Actinopterygii,
Seriola rivoliana,Carangidae,Perciformes,Actinopterygii,Pacific amberjack
Decapterus macarellus,Carangidae,Perciformes,Actinopterygii,antonino caballita
Atule mate,Carangidae,Perciformes,Actinopterygii,deep trevally
Carangoides equula,Carangidae,Perciformes,Actinopterygii,whitefinned crevalle
Alectis ciliaris,Carangidae,Perciformes,Actinopterygii,African pompano
Megalaspis cordyla,Carangidae,Perciformes,Actinopterygii,finletted mackerel scad
Decapterus maruadsi,Carangidae,Perciformes,Actinopterygii,whitetipped mackerel scad
Trachinotus carolinus,Carangidae,Perciformes,Actinopterygii,Florida pompano
Trachinotus blochii,Carangidae,Perciformes,Actinopterygii,tropical pompano
Selar crumenophthalmus,Carangidae,Perciformes,Actinopterygii,bigeye scad
Carangoides malabaricus,Carangidae,Perciformes,Actinopterygii,hunchback trevally
Alepes kleinii,Carangidae,Perciformes,Actinopterygii,
Decapterus macrosoma,Carangidae,Perciformes,Actinopterygii,blue mackerel scad
Caranx ignobilis,Carangidae,Perciformes,Actinopterygii,lowly trevally
Trachinotus ovatus,Carangidae,Perciformes,Actinopterygii,derbio
Seriola dumerili,Carangidae,Perciformes,Actinopterygii,coronado de ley
Seriola lalandi,Carangidae,Perciformes,Actinopterygii,great amberjack
Seriola quinqueradiata,Carangidae,Perciformes,Actinopterygii,
Trachurus trachurus,Carangidae,Perciformes,Actinopterygii,horse mackerel
Caranx melampygus,Carangidae,Perciformes,Actinopterygii,black ulua
Carangoides armatus,Carangidae,Perciformes,Actinopterygii,
Trachurus japonicus,Carangidae,Perciformes,Actinopterygii,
Spicara maena,Centracanthidae,Perciformes,Actinopterygii,
Lepomis cyanellus,Centrarchidae,Perciformes,Actinopterygii,Green Sunfish
Lepomis macrochirus,Centrarchidae,Perciformes,Actinopterygii,Bluegill
Micropterus floridanus,Centrarchidae,Perciformes,Actinopterygii,black basses
Micropterus salmoides,Centrarchidae,Perciformes,Actinopterygii,achigan a grande bouche
Micropterus dolomieu,Centrarchidae,Perciformes,Actinopterygii,achigan a petite bouche
Micropterus salmoides,Centrarchidae,Perciformes,Actinopterygii,achigan a grande bouche
Seriolella porosa,Centrolophidae,Perciformes,Actinopterygii,silver warehou
Psenopsis anomala,Centrolophidae,Perciformes,Actinopterygii,wart butterfish
Schedophilus velaini,Centrolophidae,Perciformes,Actinopterygii,
Hyperoglyphe japonica,Centrolophidae,Perciformes,Actinopterygii,
Lates calcarifer,Centropomidae,Perciformes,Actinopterygii,giant perch
Chelmon rostratus,Chaetodontidae,Perciformes,Actinopterygii,longnosed butterflyfish
Loa loa,Chaetodontidae,Perciformes,Actinopterygii,butterflyfishes
Heniochus diphreutes,Chaetodontidae,Perciformes,Actinopterygii,
Chaetodon auripes,Chaetodontidae,Perciformes,Actinopterygii,
Champsodon cf.,Champsodontidae,Perciformes,Actinopterygii,
Chaenocephalus aceratus,Channichthyidae,Perciformes,Actinopterygii,
Chionodraco myersi,Channichthyidae,Perciformes,Actinopterygii,
Champsocephalus gunnari,Channichthyidae,Perciformes,Actinopterygii,
Channa asiatica,Channidae,Perciformes,Actinopterygii,Chinafish
Channa marulius,Channidae,Perciformes,Actinopterygii,bullseye snakehead
Parachanna insignis,Channidae,Perciformes,Actinopterygii,
Channa maculata,Channidae,Perciformes,Actinopterygii,snakehead mullet
Channa argus,Channidae,Perciformes,Actinopterygii,snakehead
Channa maculata,Channidae,Perciformes,Actinopterygii,snakehead mullet
Channa argus,Channidae,Perciformes,Actinopterygii,snakehead
Cheilodactylus variegatus,Cheilodactylidae,Perciformes,Actinopterygii,
Cheilodactylus zonatus,Cheilodactylidae,Perciformes,Actinopterygii,
Kali indica,Chiasmodontidae,Perciformes,Actinopterygii,
Dysalotus alcocki,Chiasmodontidae,Perciformes,Actinopterygii,
Parachromis managuensis,Cichlidae,Perciformes,Actinopterygii,
Symphysodon discus,Cichlidae,Perciformes,Actinopterygii,discus
Pterophyllum scalare,Cichlidae,Perciformes,Actinopterygii,angelfish
Oreochromis variabilis,Cichlidae,Perciformes,Actinopterygii,
Oreochromis niloticus,Cichlidae,Perciformes,Actinopterygii,Nile mouthbreeder
Oreochromis esculentus,Cichlidae,Perciformes,Actinopterygii,
Petenia splendida,Cichlidae,Perciformes,Actinopterygii,giant cichlid
Paraneetroplus synspilus,Cichlidae,Perciformes,Actinopterygii,
Amphilophus citrinellus,Cichlidae,Perciformes,Actinopterygii,Midas cichlid
Paraneetroplus synspilus,Cichlidae,Perciformes,Actinopterygii,
Tropheus moorii,Cichlidae,Perciformes,Actinopterygii,
Petrochromis trewavasae,Cichlidae,Perciformes,Actinopterygii,
Cheilochromis euchilus,Cichlidae,Perciformes,Actinopterygii,big-lipped cichlid
Cynotilapia afra,Cichlidae,Perciformes,Actinopterygii,
Rhamphochromis esox,Cichlidae,Perciformes,Actinopterygii,
Genyochromis mento,Cichlidae,Perciformes,Actinopterygii,
Dimidiochromis compressiceps,Cichlidae,Perciformes,Actinopterygii,Malawi eye-biter
Astatotilapia calliptera,Cichlidae,Perciformes,Actinopterygii,
Pseudotropheus crabro,Cichlidae,Perciformes,Actinopterygii,
Nimbochromis linni,Cichlidae,Perciformes,Actinopterygii,elephant-nose cichlid
Petrotilapia nigra,Cichlidae,Perciformes,Actinopterygii,
Diplotaxodon limnothrissa,Cichlidae,Perciformes,Actinopterygii,
Trematocranus placodon,Cichlidae,Perciformes,Actinopterygii,
Sarotherodon melanotheron,Cichlidae,Perciformes,Actinopterygii,blackchin mouthbreeder
Oreochromis sp.,Cichlidae,Perciformes,Actinopterygii,blue tilapias
Oreochromis aureus,Cichlidae,Perciformes,Actinopterygii,blue tilapia
Oreochromis niloticus,Cichlidae,Perciformes,Actinopterygii,Nile mouthbreeder
Oreochromis mossambicus,Cichlidae,Perciformes,Actinopterygii,Mozambique mouth-breeder
Ptychochromoides katria,Cichlidae,Perciformes,Actinopterygii,
Paratilapia polleni,Cichlidae,Perciformes,Actinopterygii,
Etroplus maculatus,Cichlidae,Perciformes,Actinopterygii,orange chromide
Tylochromis polylepis,Cichlidae,Perciformes,Actinopterygii,
Oreochromis sp.,Cichlidae,Perciformes,Actinopterygii,blue tilapias
Astronotus ocellatus,Cichlidae,Perciformes,Actinopterygii,oscar
Neolamprologus brichardi,Cichlidae,Perciformes,Actinopterygii,fairy cichlid
Tropheus duboisi,Cichlidae,Perciformes,Actinopterygii,white-spotted cichlid
Cirrhitichthys aprinus,Cirrhitidae,Perciformes,Actinopterygii,respotted hawkfish
Paracirrhites arcatus,Cirrhitidae,Perciformes,Actinopterygii,whitelined hawkfish
Draconetta xenica,Draconettidae,Perciformes,Actinopterygii,
Drepane longimana,Drepaneidae,Perciformes,Actinopterygii,
Drepane punctata,Drepaneidae,Perciformes,Actinopterygii,
Echeneis naucrates,Echeneidae,Perciformes,Actinopterygii,guaican
Elassoma zonatum,Elassomatidae,Perciformes,Actinopterygii,banded pygmy sunfish
Elassoma evergladei,Elassomatidae,Perciformes,Actinopterygii,Everglades pygmy sunfish
Eleotris oxycephala,Eleotridae,Perciformes,Actinopterygii,
Oxyeleotris lineolata,Eleotridae,Perciformes,Actinopterygii,
Oxyeleotris marmorata,Eleotridae,Perciformes,Actinopterygii,
Mogurnda adspersa,Eleotridae,Perciformes,Actinopterygii,
Bostrychus sinensis,Eleotridae,Perciformes,Actinopterygii,
Eleotris acanthopoma,Eleotridae,Perciformes,Actinopterygii,Asian sleeper
Ditrema temminckii,Embiotocidae,Perciformes,Actinopterygii,
Cymatogaster aggregata,Embiotocidae,Perciformes,Actinopterygii,mojarra brillosa
Emmelichthys struhsakeri,Emmelichthyidae,Perciformes,Actinopterygii,
Platax teira,Ephippidae,Perciformes,Actinopterygii,
Platax orbicularis,Ephippidae,Perciformes,Actinopterygii,
Rexea solandri,Gempylidae,Perciformes,Actinopterygii,common gemfish
Epinnula magistralis,Gempylidae,Perciformes,Actinopterygii,domine
Rexea nakamurai,Gempylidae,Perciformes,Actinopterygii,Nakamura's escolar
Ruvettus pretiosus,Gempylidae,Perciformes,Actinopterygii,escolar
Thyrsitoides marleyi,Gempylidae,Perciformes,Actinopterygii,black snoek
Promethichthys prometheus,Gempylidae,Perciformes,Actinopterygii,Roudi escolar
Nesiarchus nasutus,Gempylidae,Perciformes,Actinopterygii,black gemfish
Aspasma minima,Gobiesocidae,Perciformes,Actinopterygii,
Chaenogobius gulosus,Gobiidae,Perciformes,Actinopterygii,
Luciogobius pallidus,Gobiidae,Perciformes,Actinopterygii,
Mugilogobius chulae,Gobiidae,Perciformes,Actinopterygii,
Ponticola kessleri,Gobiidae,Perciformes,Actinopterygii,
Acentrogobius pflaumii,Gobiidae,Perciformes,Actinopterygii,
Amoya chusanensis,Gobiidae,Perciformes,Actinopterygii,
Mugilogobius abei,Gobiidae,Perciformes,Actinopterygii,
Chaeturichthys stigmatias,Gobiidae,Perciformes,Actinopterygii,
Acentrogobius chlorostigmatoides,Gobiidae,Perciformes,Actinopterygii,
Oxyurichthys formosanus,Gobiidae,Perciformes,Actinopterygii,
Sicyopterus lagocephalus,Gobiidae,Perciformes,Actinopterygii,
Rhinogobius giurinus,Gobiidae,Perciformes,Actinopterygii,
Pseudogobius javanicus,Gobiidae,Perciformes,Actinopterygii,spotfin snouted goby
Luciogobius platycephalus,Gobiidae,Perciformes,Actinopterygii,
Gillichthys seta,Gobiidae,Perciformes,Actinopterygii,chupalodo chico
Sicyopterus japonicus,Gobiidae,Perciformes,Actinopterygii,
Synechogobius ommaturus,Gobiidae,Perciformes,Actinopterygii,
Odontamblyopus rubicundus,Gobiidae,Perciformes,Actinopterygii,
Glossogobius circumspectus,Gobiidae,Perciformes,Actinopterygii,
Tridentiger barbatus,Gobiidae,Perciformes,Actinopterygii,Shokihaze goby
Scartelaos histophorus,Gobiidae,Perciformes,Actinopterygii,
Stiphodon alcedo,Gobiidae,Perciformes,Actinopterygii,riffle gobies
Trypauchen vagina,Gobiidae,Perciformes,Actinopterygii,
Glossogobius olivaceus,Gobiidae,Perciformes,Actinopterygii,
Oxuderces dentatus,Gobiidae,Perciformes,Actinopterygii,
Tridentiger bifasciatus,Gobiidae,Perciformes,Actinopterygii,shimofuri goby
Acanthogobius hasta,Gobiidae,Perciformes,Actinopterygii,
Gymnogobius petschiliensis,Gobiidae,Perciformes,Actinopterygii,
Plectorhinchus vittatus,Haemulidae,Perciformes,Actinopterygii,
Plectorhinchus orientalis,Haemulidae,Perciformes,Actinopterygii,sweetlips
Plectorhinchus lineatus,Haemulidae,Perciformes,Actinopterygii,yellowbanded sweetlip
Plectorhinchus cinctus,Haemulidae,Perciformes,Actinopterygii,threebanded sweetlip
Hapalogenys analis,Haemulidae,Perciformes,Actinopterygii,
Hapalogenys nigripinnis,Haemulidae,Perciformes,Actinopterygii,
Parapristipoma trilineatum,Haemulidae,Perciformes,Actinopterygii,
Diagramma picta,Haemulidae,Perciformes,Actinopterygii,
Helostoma temminkii,Helostomatidae,Perciformes,Actinopterygii,
Howella brodiei,Howellidae,Perciformes,Actinopterygii,pelagic basslet
Istiophorus albicans,Istiophoridae,Perciformes,Actinopterygii,Atlantic sailfish
Makaira mazara,Istiophoridae,Perciformes,Actinopterygii,Atlantic blue marlin
Tetrapturus angustirostris,Istiophoridae,Perciformes,Actinopterygii,Japanese spearfish
Tetrapturus audax,Istiophoridae,Perciformes,Actinopterygii,striped marlin
Istiophorus platypterus,Istiophoridae,Perciformes,Actinopterygii,Atlantic sailfish
Makaira indica,Istiophoridae,Perciformes,Actinopterygii,black marlin
Kuhlia mugil,Kuhliidae,Perciformes,Actinopterygii,barred flagtail
Kurtus gulliveri,Kurtidae,Perciformes,Actinopterygii,Australian forehead brooder
Tilodon sexfasciatum,Kyphosidae,Perciformes,Actinopterygii,sixbanded coralfish
Scorpis lineolata,Kyphosidae,Perciformes,Actinopterygii,
Labracoglossa argentiventris,Kyphosidae,Perciformes,Actinopterygii,
Kyphosus cinerascens,Kyphosidae,Perciformes,Actinopterygii,bluefish
Girella punctata,Kyphosidae,Perciformes,Actinopterygii,largescale blackfish
Choerodon schoenleinii,Labridae,Perciformes,Actinopterygii,blackspot tuskfish
Parajulis poecilepterus,Labridae,Perciformes,Actinopterygii,
Cheilinus undulatus,Labridae,Perciformes,Actinopterygii,tapiro
Pseudolabrus eoethinus,Labridae,Perciformes,Actinopterygii,
Halichoeres tenuispinis,Labridae,Perciformes,Actinopterygii,
Halichoeres trimaculatus,Labridae,Perciformes,Actinopterygii,spottail rainbowfish
Pteragogus flagellifer,Labridae,Perciformes,Actinopterygii,cocktail wrasse
Halichoeres melanurus,Labridae,Perciformes,Actinopterygii,duskytailed rainbowfish
Pseudolabrus sieboldi,Labridae,Perciformes,Actinopterygii,
Lateolabrax maculatus,Lateolabracidae,Perciformes,Actinopterygii,
Monotaxis grandoculis,Lethrinidae,Perciformes,Actinopterygii,bigeye barenose
Lethrinus obsoletus,Lethrinidae,Perciformes,Actinopterygii,orange-striped emperor
Lutjanus johnii,Lutjanidae,Perciformes,Actinopterygii,John's snapper
Pristipomoides multidens,Lutjanidae,Perciformes,Actinopterygii,goldbanded jobfish
Lutjanus argentimaculatus,Lutjanidae,Perciformes,Actinopterygii,mangrove jack
Lutjanus sebae,Lutjanidae,Perciformes,Actinopterygii,emperor snapper
Lutjanus malabaricus,Lutjanidae,Perciformes,Actinopterygii,Malabar blood snapper
Lutjanus kasmira,Lutjanidae,Perciformes,Actinopterygii,bluebanded sea perch
Lutjanus bengalensis,Lutjanidae,Perciformes,Actinopterygii,Bengal snapper
Lutjanus russellii,Lutjanidae,Perciformes,Actinopterygii,Moses perch
Lutjanus rivulatus,Lutjanidae,Perciformes,Actinopterygii,blubberlip snapper
Luvarus imperialis,Luvaridae,Perciformes,Actinopterygii,emperador
Hoplolatilus cuniculus,Malacanthidae,Perciformes,Actinopterygii,
Branchiostegus argentatus,Malacanthidae,Perciformes,Actinopterygii,
Branchiostegus albus,Malacanthidae,Perciformes,Actinopterygii,
Branchiostegus japonicus,Malacanthidae,Perciformes,Actinopterygii,
Monodactylus argenteus,Monodactylidae,Perciformes,Actinopterygii,diamond moonfish
Dicentrarchus punctatus,Moronidae,Perciformes,Actinopterygii,sea bass
Dicentrarchus labrax,Moronidae,Perciformes,Actinopterygii,European seabass
Morone saxatilis,Moronidae,Perciformes,Actinopterygii,bar raye
Parupeneus multifasciatus,Mullidae,Perciformes,Actinopterygii,common goatfish
Mulloidichthys vanicolensis,Mullidae,Perciformes,Actinopterygii,Vanikolo goatfish
Nemipterus japonicus,Nemipteridae,Perciformes,Actinopterygii,Japanese threadfin-bream
Psenes pellucidus,Nomeidae,Perciformes,Actinopterygii,bluefin driftfish
Psenes cyanophrys,Nomeidae,Perciformes,Actinopterygii,derivante rayado
Cubiceps pauciradiatus,Nomeidae,Perciformes,Actinopterygii,bigeye cigarfish
Notothenia coriiceps,Nototheniidae,Perciformes,Actinopterygii,
Pleuragramma antarctica,Nototheniidae,Perciformes,Actinopterygii,
Dissostichus eleginoides,Nototheniidae,Perciformes,Actinopterygii,
Odax cyanomelas,Odacidae,Perciformes,Actinopterygii,herring cale
Odontobutis yaluensis,Odontobutidae,Perciformes,Actinopterygii,
Micropercops swinhonis,Odontobutidae,Perciformes,Actinopterygii,
Odontobutis sinensis,Odontobutidae,Perciformes,Actinopterygii,
Odontobutis potamophila,Odontobutidae,Perciformes,Actinopterygii,
Perccottus glenii,Odontobutidae,Perciformes,Actinopterygii,
Odontobutis platycephala,Odontobutidae,Perciformes,Actinopterygii,
Opistognathus jacksoniensis,Opistognathidae,Perciformes,Actinopterygii,
Oplegnathus punctatus,Oplegnathidae,Perciformes,Actinopterygii,spotted beakfish
Oplegnathus fasciatus,Oplegnathidae,Perciformes,Actinopterygii,striped beakfish
Colisa fasciata,Osphronemidae,Perciformes,Actinopterygii,banded gourami
Trichogaster leerii,Osphronemidae,Perciformes,Actinopterygii,
Betta splendens,Osphronemidae,Perciformes,Actinopterygii,siamese fighting fish
Trichogaster trichopterus,Osphronemidae,Perciformes,Actinopterygii,three-spot gourami
Macropodus opercularis,Osphronemidae,Perciformes,Actinopterygii,paradise fish
Macropodus ocellatus,Osphronemidae,Perciformes,Actinopterygii,
Colisa lalia,Osphronemidae,Perciformes,Actinopterygii,dwarf gourami
Pentaceros japonicus,Pentacerotidae,Perciformes,Actinopterygii,
Pseudopentaceros wheeleri,Pentacerotidae,Perciformes,Actinopterygii,North Pacific armorhead
Pseudopentaceros richardsoni,Pentacerotidae,Perciformes,Actinopterygii,pelagic armorhead
Histiopterus typus,Pentacerotidae,Perciformes,Actinopterygii,
Coreoperca herzi,Percichthyidae,Perciformes,Actinopterygii,kawamebari susswasser zackenbarsch
Siniperca chuatsi,Percichthyidae,Perciformes,Actinopterygii,Aucha perch
Siniperca scherzeri,Percichthyidae,Perciformes,Actinopterygii,
Siniperca chuatsi,Percichthyidae,Perciformes,Actinopterygii,Aucha perch
Nannoperca variegata,Percichthyidae,Perciformes,Actinopterygii,
Percalates novemaculeata,Percichthyidae,Perciformes,Actinopterygii,
Macquaria ambigua,Percichthyidae,Perciformes,Actinopterygii,golden perch
Gadopsis bispinosus,Percichthyidae,Perciformes,Actinopterygii,two-spined blackfish
Bostockia porosa,Percichthyidae,Perciformes,Actinopterygii,nightfish
Percilia irwini,Percichthyidae,Perciformes,Actinopterygii,
Siniperca obscura,Percichthyidae,Perciformes,Actinopterygii,
Gadopsis marmoratus,Percichthyidae,Perciformes,Actinopterygii,river blackfish
Siniperca undulata,Percichthyidae,Perciformes,Actinopterygii,
Siniperca roulei,Percichthyidae,Perciformes,Actinopterygii,
Coreoperca loona,Percichthyidae,Perciformes,Actinopterygii,
Coreoperca whiteheadi,Percichthyidae,Perciformes,Actinopterygii,
Macquaria australasica,Percichthyidae,Perciformes,Actinopterygii,Macquarie perch
Maccullochella peeli / Maccullochella peelii,Percichthyidae,Perciformes,Actinopterygii,Murray cod
Siniperca knerii,Percichthyidae,Perciformes,Actinopterygii,
Siniperca chuatsi,Percichthyidae,Perciformes,Actinopterygii,Aucha perch
Siniperca scherzeri,Percichthyidae,Perciformes,Actinopterygii,
Nannoperca obscura,Percichthyidae,Perciformes,Actinopterygii,
Nannoperca australis,Percichthyidae,Perciformes,Actinopterygii,
Coreoperca kawamebari,Percichthyidae,Perciformes,Actinopterygii,
Sander lucioperca,Percidae,Perciformes,Actinopterygii,pikeperch
Perca fluviatilis,Percidae,Perciformes,Actinopterygii,Eurasian perch
Gymnocephalus cernua,Percidae,Perciformes,Actinopterygii,European ruffes
Perca flavescens,Percidae,Perciformes,Actinopterygii,perchaude
Sander canadensis,Percidae,Perciformes,Actinopterygii,dore noir
Etheostoma radiosum,Percidae,Perciformes,Actinopterygii,orangebelly darter
Percina macrolepida,Percidae,Perciformes,Actinopterygii,bigscale logperch
Pholis crassispina,Pholidae,Perciformes,Actinopterygii,
Trachinops taeniatus,Plesiopidae,Perciformes,Actinopterygii,
Polydactylus sextarius,Polynemidae,Perciformes,Actinopterygii,sixfinger threadfish
Eleutheronema tetradactylum,Polynemidae,Perciformes,Actinopterygii,
Chaetodontoplus conspicillatus,Pomacanthidae,Perciformes,Actinopterygii,speckled angelfish
Chaetodontoplus mesoleucus,Pomacanthidae,Perciformes,Actinopterygii,emperor butterflyfish
Apolemichthys kingi,Pomacanthidae,Perciformes,Actinopterygii,
Holacanthus clarionensis,Pomacanthidae,Perciformes,Actinopterygii,Clarion angelfish
Centropyge interrupta,Pomacanthidae,Perciformes,Actinopterygii,
Pygoplites diacanthus,Pomacanthidae,Perciformes,Actinopterygii,royal angelfish
Pomacanthus imperator,Pomacanthidae,Perciformes,Actinopterygii,emperor angelfish
Pomacanthus xanthometopon,Pomacanthidae,Perciformes,Actinopterygii,bluefaced angelfish
Chaetodontoplus septentrionalis,Pomacanthidae,Perciformes,Actinopterygii,
Centropyge loricula,Pomacanthidae,Perciformes,Actinopterygii,
Premnas biaculeatus,Pomacentridae,Perciformes,Actinopterygii,maroon clownfish
Amphiprion perideraion,Pomacentridae,Perciformes,Actinopterygii,false skunkstriped anemonefish
Amphiprion frenatus,Pomacentridae,Perciformes,Actinopterygii,blackback anemonefish
Amphiprion clarkii,Pomacentridae,Perciformes,Actinopterygii,Brown anemonefish
Amphiprion percula,Pomacentridae,Perciformes,Actinopterygii,blackfinned clownfish
Amphiprion polymnus,Pomacentridae,Perciformes,Actinopterygii,brownsaddle clownfish
Amphiprion bicinctus,Pomacentridae,Perciformes,Actinopterygii,threebanded anemonefish
Abudefduf vaigiensis,Pomacentridae,Perciformes,Actinopterygii,
Amphiprion ocellaris,Pomacentridae,Perciformes,Actinopterygii,clown anemonefish
Pomatomus saltatrix,Pomatomidae,Perciformes,Actinopterygii,anjova
Labracinus cyclophthalmus,Pseudochromidae,Perciformes,Actinopterygii,
Rachycentron canadum,Rachycentridae,Perciformes,Actinopterygii,cobia
Rhyacichthys aspro,Rhyacichthyidae,Perciformes,Actinopterygii,loach goby
Chlorurus sordidus,Scaridae,Perciformes,Actinopterygii,uhu
Scarus schlegeli,Scaridae,Perciformes,Actinopterygii,
Scarus forsteni,Scaridae,Perciformes,Actinopterygii,
Scarus ghobban,Scaridae,Perciformes,Actinopterygii,bluechin parrotfish
Scarus rubroviolaceus,Scaridae,Perciformes,Actinopterygii,bicolor parrotfish
Scatophagus argus,Scatophagidae,Perciformes,Actinopterygii,argusfish
Argyrosomus amoyensis,Sciaenidae,Perciformes,Actinopterygii,
Nibea coibor,Sciaenidae,Perciformes,Actinopterygii,Ganges jewfish
Protonibea diacanthus,Sciaenidae,Perciformes,Actinopterygii,spotted jewfish
Bahaba taipingensis,Sciaenidae,Perciformes,Actinopterygii,
Johnius grypotus,Sciaenidae,Perciformes,Actinopterygii,
Johnius belangerii,Sciaenidae,Perciformes,Actinopterygii,
Argyrosomus japonicus,Sciaenidae,Perciformes,Actinopterygii,Japanese croaker
Dendrophysa russelii,Sciaenidae,Perciformes,Actinopterygii,
Chrysochir aureus,Sciaenidae,Perciformes,Actinopterygii,
Sciaenops ocellatus,Sciaenidae,Perciformes,Actinopterygii,corvineta ocelada
Nibea albiflora,Sciaenidae,Perciformes,Actinopterygii,yellow drum
Pennahia argentata,Sciaenidae,Perciformes,Actinopterygii,silver jewfish
Miichthys miiuy,Sciaenidae,Perciformes,Actinopterygii,
Collichthys lucidus,Sciaenidae,Perciformes,Actinopterygii,
Collichthys niveatus,Sciaenidae,Perciformes,Actinopterygii,
Larimichthys polyactis,Sciaenidae,Perciformes,Actinopterygii,little yellow croaker
Larimichthys crocea,Sciaenidae,Perciformes,Actinopterygii,yellow croaker
Euthynnus affinis,Scombridae,Perciformes,Actinopterygii,bacoreta oriental
Thunnus atlanticus,Scombridae,Perciformes,Actinopterygii,atun aleta negra
Gymnosarda unicolor,Scombridae,Perciformes,Actinopterygii,bonite a gros yeux
Scomberomorus munroi,Scombridae,Perciformes,Actinopterygii,Australian seerfish
Scomberomorus semifasciatus,Scombridae,Perciformes,Actinopterygii,broadbanded mackerel
Scomberomorus munroi,Scombridae,Perciformes,Actinopterygii,Australian seerfish
Thunnus tonggol,Scombridae,Perciformes,Actinopterygii,atun tongol
Gasterochisma melampus,Scombridae,Perciformes,Actinopterygii,atun chauchera
Scomberomorus niphonius,Scombridae,Perciformes,Actinopterygii,Japanese Spanish mackerel
Thunnus maccoyii,Scombridae,Perciformes,Actinopterygii,atun del sur
Thunnus albacares,Scombridae,Perciformes,Actinopterygii,albacore
Thunnus obesus,Scombridae,Perciformes,Actinopterygii,atun ojo grande
Scomber australasicus,Scombridae,Perciformes,Actinopterygii,Japanese mackerel
Scomber colias,Scombridae,Perciformes,Actinopterygii,Altantic chub mackerel
Scomber japonicus,Scombridae,Perciformes,Actinopterygii,Pacific chub mackerel
Scomber scombrus,Scombridae,Perciformes,Actinopterygii,Atlantic mackerel
Auxis rochei,Scombridae,Perciformes,Actinopterygii,bonitou
Auxis thazard,Scombridae,Perciformes,Actinopterygii,auxide
Thunnus alalunga,Scombridae,Perciformes,Actinopterygii,albacora
Katsuwonus pelamis,Scombridae,Perciformes,Actinopterygii,Arctic bonito
Thunnus thynnus,Scombridae,Perciformes,Actinopterygii,Atlantic bluefin tuna
Euthynnus alletteratus,Scombridae,Perciformes,Actinopterygii,bacoreta
Thunnus orientalis,Scombridae,Perciformes,Actinopterygii,Pacific bluefin tuna
Scomberomorus cavalla,Scombridae,Perciformes,Actinopterygii,carite lucio
Scombrops boops,Scombropidae,Perciformes,Actinopterygii,
Diploprion bifasciatum,Serranidae,Perciformes,Actinopterygii,yellow emperor
Aethaloperca rogaa,Serranidae,Perciformes,Actinopterygii,redmouth grouper
